LOAN_SK,LOAN_NUMBER,LOAN_TYPE,LOAN_STATUS,INTEREST_RATE,CURRENCY_OF_COMMITMENT,EFFECTIVE_START_DATE,EFFECTIVE_END_DATE,IS_CURRENT,RECORD_HASH
7741382432609737728,IBRD83750,FSL,REPAID,0,US,2025-12-03,,true,4725218399607265543
6610802193041766376,IBRD50270,NON POOL,FULLY REPAID,6.25,US,2025-12-03,,true,3390128680649797549
930370550896386392,IBRD30570,CPL,Repaid,6.18,US,2025-12-02,,true,4117483790897759879
1010877887456602731,IBRD81000,FSL,Repaid,0,US,2025-12-01,,true,2022833650736847870
6239094129258387305,IBRD50270,NON POOL,FULLY REPAID,6.25,US,2025-12-01,2025-12-03,false,828403713011366579
7248954618213442077,IBRD06350,NPL,Fully Repaid,6.5,US,2025-12-01,,true,7715641541722627292
5138248710339029253,IBRD18270,NPL,Fully Repaid,8.25,US,2025-12-01,,true,4696378191989557478
1860567887811225927,IBRD83750,FSL,FULLY REPAID,0,US,2025-12-01,2025-12-03,false,2157965399918037951
7957127801861241351,IBRD40801,SCL,Fully Repaid,0.45,US,2025-12-01,,true,7801628832099993323
2919419039481211156,IBRD80651,NON POOL,Repaid,7.25,US,2025-12-01,,true,5122406311334409097
3305486492172402058,IBRD3971S,SCPD,Fully Repaid,1.77,US,2025-12-01,,true,4062178210765002729
2889291958110245142,IBRD24470,CPL,Fully Repaid,5.21,US,2025-12-01,,true,2665844011919017187
1585654639928330049,IBRD3003S,SCPD,Fully Repaid,2.76,US,2025-12-01,,true,3862871354942875505
5906178067246844631,IBRD47030,SCL,Fully Repaid,0.99,US,2025-12-01,,true,390346706808328474
6031811373702699998,IBRD38330,CPL,Fully Transferred,7.43,US,2025-12-01,,true,8482260704826909122
4386542441385171952,IBRD31920,CPL,Fully Repaid,6.36,US,2025-12-01,,true,8316596601782802887
3379359500949769700,IBRD1931S,SCPD,Fully Repaid,9.25,US,2025-12-01,,true,4366596965450539530
7375232466767843329,IBRD03170,NPL,Fully Repaid,5.75,US,2025-12-01,,true,2844140462150273749
5712519867289302479,IBRD09410,NPL,Fully Repaid,7.25,US,2025-12-01,,true,2971965170816178568
4487433713953807544,IBRD13370,NPL,Fully Repaid,8.7,US,2025-12-01,,true,3879477027932093165
3546769856681617381,IBRD2927S,SCPD,Fully Repaid,5.46,US,2025-12-01,,true,676299781182973126
7411015473465449857,IBRD43290,SCL,Fully Repaid,2.99,US,2025-12-01,,true,5584827516523087317
6254747883314037111,IBRD48280,SCL,Fully Repaid,0.73,US,2025-12-01,,true,6168409748390097422
1757988738963288788,IBRD50810,NON POOL,Repaid,6.5,US,2025-12-01,,true,7114561750998539400
1439805583352302828,IBRD02980,NPL,Fully Repaid,5.75,US,2025-12-01,,true,5139341533966732122
1075733703474976452,IBRD33180,CPL,Fully Repaid,1.91,US,2025-12-01,,true,6650431230088627955
5326158007462385310,IBRD14080,NPL,Fully Repaid,8.2,US,2025-12-01,,true,7385380184234913280
7701236987153353352,IBRD92530,FSL,Disbursing,0,US,2025-12-01,,true,1361604792342362615
4035511142391760408,IBRD05950,NPL,Fully Repaid,6.5,US,2025-12-01,,true,5357309813648334019
1405131319295629198,IBRD94460,FSL,Disbursing,0,US,2025-12-01,,true,2727704270466346739
3765167046124362740,IBRD3738S,SCPD,Fully Repaid,7.02,US,2025-12-01,,true,8728105473141590555
1080010261168504241,IBRD16240,NPL,Fully Repaid,7.9,US,2025-12-01,,true,5662357442097343392
7981767096527029452,IBRD45910,CPL,Fully Repaid,2.96,US,2025-12-01,,true,2572405237925492394
